id,name,alias
1,YESHIVA OF FAR ROCKAWAY DERECH AYSON RABBINICAL SEMINARY,
2,UNIVERSAL TRAINING INSTITUTE,
3,UNIVERSIDAD ANA G. MENDEZ-CUPEY CAMPUS,UAGM CUPEY
4,HEALING ARTS CENTER,
5,AVEDA INSTITUTE-CHAPEL HILL,
6,CASAL INSTITUTE OF NEVADA,AVEDA INSTITUTE LAS VEGAS
7,ACADEMY OF INTERACTIVE ENTERTAINMENT,AIE
8,UNIVERSIDAD ANA G. MENDEZ-GURABO CAMPUS,UAGM GURABO
9,FORTIS COLLEGE,FORTIS COLLEGE - MOBILE
10,WILMINGTON UNIVERSITY,
11,ADVENTHEALTH UNIVERSITY,FLORIDA HOSPITAL COLLEGE
12,ALASKA BIBLE COLLEGE,
13,WEBBER INTERNATIONAL UNIVERSITY,
14,UNIVERSITY OF THE CUMBERLANDS,CUMBERLAND COLLEGE
15,WESTERN KENTUCKY UNIVERSITY,"WKU, HILLTOPPERS"
16,AMERICAN COLLEGE OF HEALTHCARE SCIENCES,
17,UNIVERSITY OF THE DISTRICT OF COLUMBIA-DAVID A CLARKE SCHOOL OF LAW,
18,CAPITOL TECHNOLOGY UNIVERSITY,
19,FONTBONNE UNIVERSITY,
20,AMERICAN UNIVERSITY,
21,ANDREWS UNIVERSITY,ANDREWS
22,UNIVERSITY OF MARYLAND EASTERN SHORE,UMES
23,UNIVERSITY OF MASSACHUSETTS-AMHERST,UMASS AMHERST
24,PONTIFICAL FACULTY OF THE IMMACULATE CONCEPTION AT THE DOMINICAN HOUSE OF STUDIES,DHS | PONTIFICAL FACULTY OF THE IMMACULATE CONCEPTION | COLLEGE OF THE IMMACULATE CONCEPTION
25,GALLAUDET UNIVERSITY,
26,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,UNCG
27,BISHOP STATE COMMUNITY COLLEGE,
28,SIERRA NEVADA UNIVERSITY,SNU
29,UNION COLLEGE,
30,UNITED TALMUDICAL SEMINARY,
31,AI MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,
32,SALON INSTITUTE-TOLEDO CAMPUS,
33,UNIVERSITY OF PUERTO RICO-AGUADILLA,"UPRAG, UNIVERSITY OF PUERTO RICO AT AGUADILLA"
34,UNIVERSITY OF PUERTO RICO-BAYAMON,UPRB
35,UNIVERSITY OF PUERTO RICO-CAROLINA,UPRCA
36,UNIVERSITY OF PUERTO RICO-HUMACAO,
37,UNIVERSITY OF PUERTO RICO-MAYAGUEZ,UPRM|RUM|COLEGIO|COLEGIO DE MAYAGÜEZ|UPR-MAYAGUEZ|CAAM|RECINTO DE MAYAGÜEZ|
38,UNIVERSITY OF PUERTO RICO-PONCE,UPR-PONCE
39,AVEDA INSTITUTE-MARYLAND,AVEDA INSTITUTE MARYLAND
40,LOYOLA UNIVERSITY MARYLAND,
41,MARYLAND INSTITUTE COLLEGE OF ART,MICA
42,THE JUILLIARD SCHOOL,JUILLIARD
43,THE HEALTHCARE INSTITUTE,
44,HIGH TECH HIGH GRADUATE SCHOOL OF EDUCATION,
45,THE BEAUTY SCHOOL,
46,K & G 5 STAR BARBER COLLEGE,
47,ANTIOCH UNIVERSITY ONLINE,
48,VH BARBER & STYLING ACADEMY,
49,YESHIVA OHR YISRAEL,YESHIVA GEDOLA OHR YISRAEL
50,AVIATION INSTITUTE OF MAINTENANCE-FREMONT,
51,GOULD'S ACADEMY,
52,MICHIGAN CAREER AND TECHNICAL INSTITUTE,MCTI
53,THE SALON PROFESSIONAL ACADEMY-APPLETON,
54,PAUL MITCHELL THE SCHOOL-MADISON,
55,CHAMBERLAIN UNIVERSITY-NEW JERSEY,CHAMBERLAIN COLLEGE OF NURSING-NORTH BRUNSWICK
56,FLORIDA CAREER COLLEGE-HOUSTON,
57,FLORIDA CAREER COLLEGE-ORLANDO,
58,FLORIDA CAREER COLLEGE-MARGATE,
59,FLORIDA CAREER COLLEGE-BOYNTON BEACH,
60,AVEDA INSTITUTE PORTLAND-VANCOUVER CAMPUS,
61,TEXAS STATE TECHNICAL COLLEGE,TSTC
62,SUNSTATE ACADEMY-JONES TECHNICAL INSTITUTE,J-TECH
63,FORTIS COLLEGE-CUYAHOGA FALLS,
64,AMERICAN ISLAMIC COLLEGE,
65,LONGWOOD UNIVERSITY,
66,BRIDGEWATER COLLEGE,BC|BRIDGEWATER
67,THE SANTA BARBARA AND VENTURA COLLEGES OF LAW AT SANTA BARBARA,
68,UNIVERSAL TECHNICAL INSTITUTE-DALLAS FORT WORTH,UNIVERSAL TECHNICAL INSTITUTE - DALLAS/FORT WORTH
69,ASI CAREER INSTITUTE,
70,VOGUE COLLEGE OF COSMETOLOGY-SAN ANTONIO FREDERICKSBURG,
71,ACADEMY DI FIRENZE,
72,UNITED EDUCATION INSTITUTE-ONTARIO,
73,UNITED EDUCATION INSTITUTE-ENCINO,
74,UNITED EDUCATION INSTITUTE-CHULA VISTA,
75,TREND BARBER COLLEGE,
76,PRINCESS BEAUTY SCHOOL,
77,AVEDA INSTITUTE-MADISON,AVEDA INSTITUTE MADISON
78,STUDIO BEAUTY SCHOOL,
79,LATIN BEAUTY ACADEMY,
80,THE AILEY SCHOOL,
81,UNITED EDUCATION INSTITUTE-UEI COLLEGE SAN MARCOS,
82,ABCO TECHNOLOGY,
83,INTERNATIONAL SPORTS SCIENCES ASSOCIATION,CES
84,CALIFORNIA INTERCONTINENTAL UNIVERSITY,
85,INFINITY COLLEGE,
86,MANDL SCHOOL-THE COLLEGE OF ALLIED HEALTH,MANDL SCHOOL - THE COLLEGE OF ALLIED HEALTH
87,IGLOBAL UNIVERSITY,
88,LABARBERIA INSTITUTE OF HAIR,
89,SUSQUEHANNA COUNTY CAREER AND TECHNOLOGY CENTER,SCCTC | SUSQ. CO. CTC | SCC&TC | SUSQUEHANNA CO. CTC |
90,STRAYER UNIVERSITY-PENNSYLVANIA,
91,PITC INSTITUTE,
92,STRAYER UNIVERSITY-FLORIDA,
93,PAUL MITCHELL THE SCHOOL-TYSONS CORNER,
94,STRAYER UNIVERSITY-DELAWARE,
95,STRAYER UNIVERSITY-NORTH CAROLINA,
96,STRAYER UNIVERSITY-NEW JERSEY,
97,STRAYER UNIVERSITY-WEST VIRGINIA,
98,CARRINGTON COLLEGE-LAS VEGAS,CARRINGTON COLLEGE-LAS VEGAS
99,CARRINGTON COLLEGE-RENO,CARRINGTON COLLEGE-RENO
100,HORIZON UNIVERSITY,
101,TIGI HAIRDRESSING ACADEMY GUILFORD,TIGI HAIRDRESSING ACADEMY
102,NEW BEGINNINGS BEAUTY ACADEMY,
103,ATLANTIS UNIVERSITY,
104,ACADEMY OF INTERACTIVE ENTERTAINMENT,AIE
105,CALIFORNIA INSTITUTE OF ADVANCED MANAGEMENT,CIAM
106,NORTHWEST UNIVERSITY-COLLEGE OF ADULT AND PROFESSIONAL STUDIES,
107,FLORIDA CAREER COLLEGE-JACKSONVILLE,
108,FLORIDA CAREER COLLEGE-TAMPA,
109,FLORIDA CAREER COLLEGE-HIALEAH,
110,FLORIDA CAREER COLLEGE-WEST PALM BEACH,
111,FLORIDA CAREER COLLEGE-PEMBROKE PINES,
112,ARIZONA COLLEGE OF NURSING-LAS VEGAS,
